,FOM1,OFFSCORE,DEFSCORE,PFOM,SeedDiff,FTScore,ClassDiff,OPFOMDIF
632,0.744356435644,0.05,0.484848484848,0.500338263518,3.0,1.12414622303,0.0,3.68754955509e-05
633,0.228979591837,0.05,0.95,0.0580582524272,4.0,1.28565747614,0.0,0.10051302489
634,0.503937007874,0.05,0.05,0.384418279443,-3.0,-3.53251416639,0.0,-0.00401660288231
635,0.53724137931,0.05,0.95,0.05,-7.0,0.398316970547,-0.0,0.137210921014
636,0.512820512821,0.657313432836,0.481818181818,0.05,-9.0,0.625453366452,0.0,0.0442333255269
637,0.30875,0.503448275862,0.503448275862,0.375331746466,3.0,-0.130657446093,0.0,-0.0423474389169
638,0.608985507246,0.95,0.95,0.645049432573,-12.0,-2.06134776421,-0.0,0.0483245813837
639,0.485714285714,0.504201680672,0.05,0.462556480153,3.0,0.228881061628,0.0,-0.0121452043386
640,0.58380952381,0.95,0.256790123457,0.591042145029,1.0,-0.381133913684,0.0,0.0277646901666
641,0.724217687075,0.05,0.05,0.484307699628,1.0,1.78739346165,0.0,0.0274562508693
642,0.300526315789,0.63781512605,0.63781512605,0.401320704747,2.0,-0.225454545455,0.0,0.0441091878244
643,0.507936507937,0.677931034483,0.608571428571,0.471389834808,0.0,-0.00962413542046,0.0,0.0494370553752
644,0.610769230769,0.617037037037,0.617037037037,0.597648099811,-3.0,1.05977347523,0.0,0.0503511763568
645,0.388253968254,0.344285714286,0.05,0.05,1.0,-0.0386748077793,0.0,-0.0199165905298
646,0.496551724138,0.05,0.05,0.751470588235,0.0,-0.0534121984944,0.0,-0.0261118442603
647,0.266280991736,0.05,0.05,0.684031962156,0.0,-0.870383784134,-1.0,-0.00390836285705
648,0.732845528455,0.462517482517,0.484848484848,0.274545454545,0.0,3.0729410094,0.0,0.0024287348461
649,0.370198675497,0.812795031056,0.95,0.722483660131,0.0,0.58125,-1.0,0.0709266285952
650,0.818620689655,0.95,0.95,0.828,-5.0,-0.546176840456,-2.0,0.244017115886
651,0.291612903226,0.95,0.05,0.05,5.0,-0.270110454538,0.0,-0.14343058481
652,0.512,0.496688741722,0.184444444444,0.184444444444,7.0,-1.57356224023,0.0,0.0157675932408
653,0.698461538462,0.95,0.95,0.0833576642336,-1.0,2.31838768116,0.0,0.120291372511
654,0.564590163934,0.95,0.95,0.95,-15.0,2.92670960579,0.0,0.204387438474
655,0.563076923077,0.95,0.05,0.313386117844,11.0,2.24815270936,1.0,0.0298845917643
656,0.95,0.95,0.95,0.95,-15.0,0.37798970331,-2.0,0.0951253024647
657,0.495726495726,0.95,0.95,0.628507655194,11.0,-1.07641700405,0.0,0.14766853356
658,0.509433962264,0.95,0.95,0.771020408163,-5.0,-1.67458022907,-2.0,0.0226881070087
659,0.77905511811,0.95,0.796338028169,0.800037490616,-9.0,4.26834741981,-2.0,-0.0226448463427
660,0.686218487395,0.95,0.95,0.95,-11.0,-2.24275677484,-2.0,0.0128362997347
661,0.267154471545,0.05,0.200298507463,0.295530629362,-7.0,-1.42488558093,1.0,0.00269066926046
662,0.0874074074074,0.95,0.490566037736,0.827738506424,9.0,2.99680641919,-1.0,0.0611334843148
663,0.05,0.05,0.194426229508,0.0786046511628,9.0,-1.77847179511,2.0,0.0337339476965
664,0.05,0.496688741722,0.496688741722,0.698587664995,7.0,0.740514138817,-1.0,0.0957389615928
665,0.1496875,0.486956521739,0.05,0.612373532325,-1.0,-0.688827301112,-1.0,-0.00677855434845
666,0.484615384615,0.95,0.491525423729,0.95,3.0,1.30434782609,-1.0,0.131015727119
667,0.295223880597,0.05,0.05,0.164778761062,13.0,1.11274834437,1.0,-0.0537413324338
668,0.654246575342,0.737522123894,0.05,0.95,13.0,1.61803232999,0.0,0.000832210973538
669,0.95,0.05,0.746666666667,0.95,-11.0,0.0727892568108,-2.0,0.0749295483193
670,0.382264150943,0.05,0.516949152542,0.474361927206,3.0,-2.11874335927,0.0,0.0118284908969
671,0.912413793103,0.95,0.95,0.95,-15.0,-0.53979359128,-2.0,0.0944187034408
672,0.847164179104,0.05,0.496688741722,0.690078690757,3.0,-1.35228568171,-1.0,0.0516871986372
673,0.588925619835,0.95,0.256790123457,0.734551419267,-15.0,1.79499425947,-1.0,0.0731851426595
674,0.491935483871,0.05,0.374285714286,0.69482355426,-9.0,-1.68534836066,-1.0,-0.00355541458944
675,0.95,0.95,0.95,0.95,-13.0,5.75171526587,-1.0,0.0701222929365
676,0.888493150685,0.38,0.05,0.507190546279,5.0,-0.680889929742,0.0,0.0580686698778
677,0.693398058252,0.05,0.05,0.223582391825,7.0,-5.16212760199,1.0,0.0357991888649
678,0.583489932886,0.342121212121,0.05,0.873643410853,-1.0,-2.62024836019,-2.0,0.0341628625415
679,0.05,0.05,0.05,0.05,13.0,-0.26225742673,2.0,0.0204102008845
680,0.22,0.95,0.95,0.295744017323,3.0,0.21816827997,1.0,0.0467378625291
681,0.486486486486,0.95,0.503184713376,0.104242424242,-1.0,-0.0530497825882,-1.0,0.0246481916307
682,0.95,0.95,0.339677419355,0.95,-8.0,-1.63872997712,-2.0,0.263211724218
683,0.05,0.95,0.820283687943,0.286253784121,7.0,1.05685250199,1.0,0.0352602836918
684,0.493150684932,0.707619047619,0.707619047619,0.612342235344,3.0,-0.765540243366,0.0,0.134889893671
685,0.95,0.334545454545,0.295223880597,0.799064770674,-1.0,5.06189976034,-2.0,0.0065664581527
686,0.05,0.05,0.05,0.469675569923,3.0,0.599455442736,0.0,-0.0198389375234
687,0.824885496183,0.95,0.95,0.780975609756,8.0,2.83457809224,-2.0,0.0491267893696
688,0.43619047619,0.328208092486,0.75303030303,0.267838916845,8.0,-2.14054390525,1.0,0.0129080423705
689,0.439452054795,0.95,0.5078125,0.517662962177,-8.0,-0.718243606391,0.0,0.190468766774
690,0.191034482759,0.05,0.398494623656,0.139642857143,5.0,-0.151157912056,1.0,-0.151018937175
691,0.652894736842,0.704776119403,0.267154471545,0.144289180304,8.0,-1.22018895615,2.0,0.0253126171632
692,0.749295774648,0.05,0.561739130435,0.695835124171,-8.0,0.618397414994,-1.0,-0.0464483149734
693,0.567272727273,0.95,0.05,0.249275362319,-8.0,0.48042094555,-1.0,0.0464506687705
694,0.706875,0.05,0.05,0.484307699628,-7.0,1.78739346165,0.0,0.0274562508693
695,0.506666666667,0.05,0.05,0.27191145441,1.0,-0.0518435251799,1.0,-0.0302796111465
696,0.483606557377,0.365648854962,0.365648854962,0.495694880175,5.0,-0.622004284375,0.0,-0.0141893858794
697,0.490196078431,0.906037735849,0.95,0.479679199189,8.0,0.961950023912,0.0,0.044292953215
698,0.657878787879,0.05,0.462014388489,0.272554744526,1.0,-1.38414217362,0.0,-0.0404220362876
699,0.48951048951,0.95,0.630201342282,0.538517224557,4.0,-0.346657504046,0.0,0.271689525218
